Vrus taxid	Virus name	Virus refseq 	Host tax id	Host name	Host refseq id	pmid	Evidence	Based on
235266	Acidianus filamentous virus 1	NC_005830	563177	Acidianus hospitalis	NC_015518.1		UniProt	database
1049283	Acinetobacter phage ZZ1	NC_018087	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1187128	Acinetobacter bacteriophage AP22	NC_017984	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1221835	Acinetobacter phage Bphi-B1251	NC_019541	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1235824	Acinetobacter phage Abp1	NC_021316	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1243183	Acinetobacter phage IME-AB2	JX976549	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1406779	Acinetobacter phage Petty	NC_023570	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1458669	Acinetobacter phage IME_AB3	NC_023590	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1481186	Acinetobacter phage vB_AbaM_Acibel004	NC_025462	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1481187	Acinetobacter phage vB_AbaP_Acibel007	NC_025457	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1505225	Acinetobacter phage YMC-13-01-C62	NC_024785	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1560342	Acinetobacter phage YMC13/03/R2096	NC_027332	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1605379	Acinetobacter phage vB_AbaM_phiAbaA1	NC_031280	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1647373	Acinetobacter phage Fri1	NC_028848	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1698439	Acinetobacter phage phiAB6	NC_031086	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1701807	Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1701808	Acinetobacter phage vB_AbaP_PD-AB9	NC_028679	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1735582	Acinetobacter phage vB_AbaM_IME200	NC_028987	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
1792222	Acinetobacter phage LZ35	NC_031117	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
691318	Acinetobacter phage phiAB1	NC_028675	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
889876	Acinetobacter phage AB1	HM368260	470	Acinetobacter baumannii	NZ_CP009257.1		RefSeq	database
279006	Acinetobacter virus 133	NC_015250	40214	Acinetobacter johnsonii	NZ_CP010350.1	21029436	Literature	database
760732	Acinetobacter phage Acj61	NC_014661	40214	Acinetobacter johnsonii	NZ_CP010350.1	21029436	Literature	database
760939	Acinetobacter phage Acj9	NC_014663	40214	Acinetobacter johnsonii	NZ_CP010350.1	21029436	Literature	database
1229760	Acinetobacter phage phiAC-1	NC_028995	487316	Acinetobacter soli	NZ_CP016896.1		RefSeq	database
1204516	Aeromonas phage CC2	NC_019538	644	Aeromonas hydrophila	NC_008570.1		RefSeq	database
1505227	Aeromonas phage pAh6-C	NC_025459	644	Aeromonas hydrophila	NC_008570.1		RefSeq	database
227470	Aeromonas virus Aeh1	NC_005260	644	Aeromonas hydrophila	NC_008570.1		RefSeq	database
1127514	Aeromonas phage vB_AsaM-56	NC_019527	645	Aeromonas salmonicida	NC_009348.1		RefSeq	database
115987	Aeromonas virus 44RR2	NC_005135	645	Aeromonas salmonicida	NC_009348.1		RefSeq	database
1198013	Aeromonas phage Aes508	NC_019543	645	Aeromonas salmonicida	NC_009348.1		RefSeq	database
233894	Aeromonas virus 25	NC_008208	645	Aeromonas salmonicida	NC_009348.1		RefSeq	database
260149	Aeromonas virus 65	NC_015251	645	Aeromonas salmonicida	NC_009348.1	"16828113, 21029436"	"Literature, RefSeq"	database
321023	Aeromonas virus 31	NC_007022	645	Aeromonas salmonicida	NC_009348.1		RefSeq	database
879628	Aeromonas phage phiAS4	NC_014635	645	Aeromonas salmonicida	NC_009348.1		RefSeq	database
879630	Aeromonas phage phiAS5	NC_014636	645	Aeromonas salmonicida	NC_009348.1		RefSeq	database
926067	Aeromonas phage PX29	NC_023688	645	Aeromonas salmonicida	NC_009348.1	21029436	Literature	database
230158	Haemophilus phage Aaphi23	NC_004827	714	Aggregatibacter actinomycetemcomitans	NZ_CP012959.1		RefSeq	database
467481	Azospirillum phage Cd	NC_010355	192	Azospirillum brasilense	NZ_CP012914.1		RefSeq	database
1308863	Bacillus phage vB_BanS-Tsamsa	NC_023007	1392	Bacillus anthracis	NC_005945.1		RefSeq	database
345922	Bacillus phage Fah	NC_007814	1392	Bacillus anthracis	NC_005945.1		RefSeq	database
347966	Bacillus phage Cherry	DQ222851	1392	Bacillus anthracis	NC_005945.1		RefSeq	database
359961	Bacillus virus Wbeta	NC_007734	1392	Bacillus anthracis	NC_005945.1		RefSeq	database
513550	Bacillus phage AP50	NC_011523	1392	Bacillus anthracis	NC_005945.1		RefSeq	database
663237	Bacillus phage Wip1	NC_022094	1392	Bacillus anthracis	NC_005945.1		RefSeq	database
1118064	Bacillus phage BceA1	HE614282	1396	Bacillus cereus	NC_004722.1	22815791	Literature	database
1126949	Bacillus phage B5S	JN797796	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1126950	Bacillus phage BCP78	NC_018860	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1126951	Bacillus phage BCU4	JN797798	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1129192	Bacillus phage BCP8-2	NC_027355	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1136534	Bacillus phage BCD7	NC_019515	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1136731	Bacillus phage BPS13	NC_018857	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1141133	Bacillus phage B4	NC_018863	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1161901	Bacillus phage PBC1	NC_017976	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1195072	Bacillus phage vB_BceM-Bc431v3	NC_020873	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1277886	Bacillus phage BPS10C	NC_023501	1396	Bacillus cereus	NC_004722.1	24595561	Literature	database
1296655	Bacillus phage JL	NC_028982	1396	Bacillus cereus	NC_004722.1	24459255	Literature	database
1296656	Bacillus phage Shanette	NC_028983	1396	Bacillus cereus	NC_004722.1	24459255	Literature	database
1391188	Bacillus phage CP-51	NC_025423	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1643324	Bacillus phage phi4B1	NC_028886	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1643326	Bacillus phage phi4J1	NC_029008	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1690456	Bacillus phage TsarBomba	NC_028890	1396	Bacillus cereus	NC_004722.1	26472830	Literature	database
1734382	Bacillus phage VMY22	NC_028789	1396	Bacillus cereus	NC_004722.1	"25680445, 26941234"	"Literature, RefSeq"	database
1868599	Bacillus phage PfEFR-5	NC_031055	1396	Bacillus cereus	NC_004722.1		RefSeq	database
225725	Bacillus phage phBC6A51	NC_004820	1396	Bacillus cereus	NC_004722.1		RefSeq	database
225726	Bacillus phage phBC6A52	NC_004821	1396	Bacillus cereus	NC_004722.1		RefSeq	database
345922	Bacillus phage Fah	NC_007814	1396	Bacillus cereus	NC_004722.1		RefSeq	database
347962	Bacillus phage Gamma	NC_007458	1396	Bacillus cereus	NC_004722.1		RefSeq	database
565140	Bacillus phage TP21-L	NC_011645	1396	Bacillus cereus	NC_004722.1	21994663	Literature	database
57477	Bacillus phage Bastille	NC_018856	1396	Bacillus cereus	NC_004722.1		RefSeq	database
584892	Bacillus phage Bcp1	NC_024137	1396	Bacillus cereus	NC_004722.1		RefSeq	database
701257	Bacillus virus 250	NC_029024	1396	Bacillus cereus	NC_004722.1		RefSeq	database
764595	Bacillus phage W.Ph.	NC_016563	1396	Bacillus cereus	NC_004722.1		RefSeq	database
1084719	Bacillus virus G	NC_023719	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1406786	Bacillus phage Page	NC_022764	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1406787	Bacillus phage poppyseed	KF669657	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1406789	Bacillus phage Pony	NC_022770	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1406790	Bacillus phage Slash	NC_022774	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1406792	Bacillus phage Staley	NC_022767	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1540090	Bacillus phage Mater	NC_027366	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1540091	Bacillus phage Moonbeam	NC_027374	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1540092	Bacillus phage Pascal	NC_027372	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1540093	Bacillus phage Pookie	NC_027394	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1597966	Bacillus phage Palmer	NC_028926	1404	Bacillus megaterium	NZ_CP009920.1	25953175	"Literature, RefSeq"	database
1610832	Bacillus phage Stahl	NC_028856	1404	Bacillus megaterium	NZ_CP009920.1	26251491	"Literature, RefSeq"	database
1610833	Bacillus phage Stills	NC_028777	1404	Bacillus megaterium	NZ_CP009920.1	26251490	"Literature, RefSeq"	database
1675598	Bacillus phage Pavlov	NC_028782	1404	Bacillus megaterium	NZ_CP009920.1	26337888	"Literature, RefSeq"	database
1755679	Bacillus phage BM5	NC_029069	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1776293	Bacillus phage Eldridge	NC_030920	1404	Bacillus megaterium	NZ_CP009920.1		RefSeq	database
1204533	Bacillus phage phiAGATE	NC_020081	1408	Bacillus pumilus	NZ_CP011007.1		RefSeq	database
1406782	Bacillus virus Blastoid	NC_022773	1408	Bacillus pumilus	NZ_CP011007.1		RefSeq	database
1406784	Bacillus virus Glittering	NC_022766	1408	Bacillus pumilus	NZ_CP011007.1		RefSeq	database
1406788	Bacillus virus Riggi	NC_022765	1408	Bacillus pumilus	NZ_CP011007.1		RefSeq	database
1445810	Bacillus phage Bp8p-C	NC_029121	1408	Bacillus pumilus	NZ_CP011007.1		RefSeq	database
1445811	Bacillus phage Bp8p-T	KJ010548	1408	Bacillus pumilus	NZ_CP011007.1		RefSeq	database
66797	Bacillus virus SPbeta	NC_001884	1408	Bacillus pumilus	NZ_CP011007.1		UniProt	database
10685	Bacillus virus SPO1	NC_011421	1423	Bacillus subtilis	NC_000964.3		"RefSeq, UniProt"	database
10717	Bacillus phage phi105	NC_004167	1423	Bacillus subtilis	NC_000964.3		UniProt	database
10724	Bacillus phage SPP1	NC_004166	1423	Bacillus subtilis	NC_000964.3		UniProt	database
10753	Bacillus phage Nf	EU622808	1423	Bacillus subtilis	NC_000964.3		UniProt	database
10756	Bacillus virus phi29	NC_011048	1423	Bacillus subtilis	NC_000964.3		"RefSeq, UniProt"	database
10757	Bacillus phage PZA	M11813	1423	Bacillus subtilis	NC_000964.3		"RefSeq, UniProt"	database
10778	Bacillus virus B103	NC_004165	1423	Bacillus subtilis	NC_000964.3		"RefSeq, UniProt"	database
12345	Bacillus virus GA1	NC_002649	1423	Bacillus subtilis	NC_000964.3		UniProt	database
1406783	Bacillus phage CampHawk	NC_022761	1423	Bacillus subtilis	NC_000964.3		RefSeq	database
1406785	Bacillus phage Grass	NC_022771	1423	Bacillus subtilis	NC_000964.3		RefSeq	database
1497851	Bacillus phage SPG24	NC_030903	1423	Bacillus subtilis	NC_000964.3		RefSeq	database
207656	Bacillus phage phiNIT1	NC_021856	1423	Bacillus subtilis	NC_000964.3		RefSeq	database
66797	Bacillus virus SPbeta	NC_001884	1423	Bacillus subtilis	NC_000964.3		"RefSeq, UniProt"	database
941058	Bacillus phage SP-10	NC_019487	1423	Bacillus subtilis	NC_000964.3	21597187	Literature	database
1105171	Bacteroides phage B124-14	NC_016770	817	Bacteroides fragilis	NC_006347.1		RefSeq	database
99179	Bacteroides phage B40-8	NC_011222	817	Bacteroides fragilis	NC_006347.1		RefSeq	database
1035662	Bdellovibrio phage phi1402	NC_015721	959	Bdellovibrio bacteriovorus	NZ_CP002190.1		RefSeq	database
1127515	Bdellovibrio phage phi1422	NC_019525	959	Bdellovibrio bacteriovorus	NZ_CP002190.1		RefSeq	database
145579	Bdellovibrio phage phiMH2K	NC_002643	959	Bdellovibrio bacteriovorus	NZ_CP002190.1		"RefSeq, UniProt"	database
194699	Bordetella virus BPP1	NC_005357	518	Bordetella bronchiseptica	NC_019382.1		"RefSeq, UniProt"	database
1296658	Brevibacillus phage Jimmer2	KC595514	1465	Brevibacillus laterosporus	NZ_CP007806.1		RefSeq	database
1296659	Brevibacillus phage Jimmer1	NC_029104	1465	Brevibacillus laterosporus	NZ_CP007806.1		RefSeq	database
1296660	Brevibacillus phage Emery	KC595516	1465	Brevibacillus laterosporus	NZ_CP007806.1		RefSeq	database
1296661	Brevibacillus phage Abouo	NC_029029	1465	Brevibacillus laterosporus	NZ_CP007806.1		RefSeq	database
1296662	Brevibacillus phage Davies	NC_022980	1465	Brevibacillus laterosporus	NZ_CP007806.1		RefSeq	database
1691954	Brevibacillus phage Jenst	NC_028805	1465	Brevibacillus laterosporus	NZ_CP007806.1	26494658	"Literature, RefSeq"	database
1691955	Brevibacillus phage Osiris	NC_028969	1465	Brevibacillus laterosporus	NZ_CP007806.1	26494658	"Literature, RefSeq"	database
1691958	Brevibacillus phage Sundance	NC_028749	1465	Brevibacillus laterosporus	NZ_CP007806.1	26494658	"Literature, RefSeq"	database
764561	Brochothrix phage NF5	NC_015252	2756	Brochothrix thermosphacta			RefSeq	database
764562	Brochothrix phage BL3	NC_015254	2756	Brochothrix thermosphacta			RefSeq	database
857312	Brochothrix phage A9	NC_015253	2756	Brochothrix thermosphacta			RefSeq	database
1308869	Brucella phage Bk	KC556893	29459	Brucella melitensis	"NC_003318.1,NC_003317.1"		RefSeq	database
1136535	Burkholderia virus DC1	NC_018452	292	Burkholderia cepacia	"NZ_CP012981.1,NZ_CP012983.1,NZ_CP012982.1"		RefSeq	database
209052	Burkholderia virus Bcep781	NC_004333	292	Burkholderia cepacia	"NZ_CP012981.1,NZ_CP012983.1,NZ_CP012982.1"		"RefSeq, UniProt"	database
242861	Burkholderia phage BcepNazgul	NC_005091	292	Burkholderia cepacia	"NZ_CP012981.1,NZ_CP012983.1,NZ_CP012982.1"		RefSeq	database
260373	Burkholderia virus Bcep43	NC_005342	292	Burkholderia cepacia	"NZ_CP012981.1,NZ_CP012983.1,NZ_CP012982.1"		RefSeq	database
279280	Burkholderia virus BcepC6B	NC_005887	292	Burkholderia cepacia	"NZ_CP012981.1,NZ_CP012983.1,NZ_CP012982.1"		RefSeq	database
348137	Burkholderia phage Bcep176	NC_007497	292	Burkholderia cepacia	"NZ_CP012981.1,NZ_CP012983.1,NZ_CP012982.1"		RefSeq	database
437329	Burkholderia phage BcepGomr	NC_009447	292	Burkholderia cepacia	"NZ_CP012981.1,NZ_CP012983.1,NZ_CP012982.1"		RefSeq	database
1235712	Burkholderia phage phiX216	JX681814	28450	Burkholderia pseudomallei	"NC_006350.1,NC_006351.1"		RefSeq	database
1282994	Burkholderia phage ST79	NC_021343	28450	Burkholderia pseudomallei	"NC_006350.1,NC_006351.1"		RefSeq	database
255131	Burkholderia virus phi1026b	NC_005284	28450	Burkholderia pseudomallei	"NC_006350.1,NC_006351.1"		RefSeq	database
332032	Burkholderia virus phi52237	NC_007145	28450	Burkholderia pseudomallei	"NC_006350.1,NC_006351.1"		RefSeq	database
431891	Burkholderia virus phi6442	NC_009235	28450	Burkholderia pseudomallei	"NC_006350.1,NC_006351.1"		RefSeq	database
431892	Burkholderia virus phiE122	NC_009236	28450	Burkholderia pseudomallei	"NC_006350.1,NC_006351.1"		RefSeq	database
1110702	Campylobacter virus CPX	NC_016562	197	Campylobacter jejuni	NC_002163.1		RefSeq	database
1541686	Campylobacter phage PC14	NC_031909	197	Campylobacter jejuni	NC_002163.1		RefSeq	database
934027	Campylobacter virus NCTC12673	NC_015464	197	Campylobacter jejuni	NC_002163.1		RefSeq	database
990550	Campylobacter virus CP81	FR823450	197	Campylobacter jejuni	NC_002163.1		RefSeq	database
340054	Bacteriophage APSE-2	NC_011551	138072	Candidatus Hamiltonella defensa			RefSeq	database
941969	Liberibacter phage SC1	NC_019549	34021	Candidatus Liberibacter asiaticus	NC_020549.1		RefSeq	database
941970	Liberibacter phage SC2	NC_019550	34021	Candidatus Liberibacter asiaticus	NC_020549.1		RefSeq	database
1204537	Caulobacter virus phiCbK	NC_019405	155892	Caulobacter vibrioides			RefSeq	database
1211640	Caulobacter phage CcrColossus	NC_019406	155892	Caulobacter vibrioides			RefSeq	database
1211641	Caulobacter virus Karma	NC_019410	155892	Caulobacter vibrioides			RefSeq	database
1211642	Caulobacter virus Magneto	NC_019407	155892	Caulobacter vibrioides			RefSeq	database
1211643	Caulobacter virus Rogue	NC_019408	155892	Caulobacter vibrioides			RefSeq	database
1211644	Caulobacter virus Swift	NC_019411	155892	Caulobacter vibrioides			RefSeq	database
767473	Caulobacter phage phiCb5	NC_019453	155892	Caulobacter vibrioides			RefSeq	database
1327968	Cellulophaga phage phi48:2	NC_021793	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327969	Cellulophaga phage phi12:2	NC_021797	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327970	Cellulophaga phage phi19:1	NC_021799	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327971	Cellulophaga phage phi19:3	NC_021789	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327972	Cellulophaga phage phi17:2	NC_021798	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327973	Cellulophaga phage phi3ST:2	KC821610	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327974	Cellulophaga phage phi46:1	NC_021800	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327975	Cellulophaga phage phi40:1	KC821612	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327976	Cellulophaga phage phi12:1	NC_021791	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327979	Cellulophaga phage phi12:3	KC821615	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327980	Cellulophaga phage phi17:1	NC_021795	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327981	Cellulophaga phage phi10:1	NC_021802	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327982	Cellulophaga phage phi18:1	NC_021790	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327983	Cellulophaga phage phi18:3	NC_021794	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327984	Cellulophaga phage phi19:2	KC821621	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327985	Cellulophaga phage phi46:3	NC_021792	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327987	Cellulophaga phage phi12a:1	NC_021805	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327990	Cellulophaga phage phi14:2	NC_021806	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327992	Cellulophaga phage phi13:1	KC821625	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327993	Cellulophaga phage phi39:1	NC_021804	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327995	Cellulophaga phage phi18:2	KC821627	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1327997	Cellulophaga phage phi18:4	KC821628	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1328028	Cellulophaga phage phi48:1	KC821631	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1328029	Cellulophaga phage phi4:1	NC_021788	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
1328030	Cellulophaga phage phi13:2	NC_021803	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
756279	Cellulophaga phage phi3:1	KC821630	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
756281	Cellulophaga phage phi47:1	KC821634	76594	Cellulophaga baltica	NZ_CP009976.1		RefSeq	database
105154	Chlamydia phage 2	NC_002194	83554	Chlamydia psittaci	NC_017287.1		RefSeq	database
10857	Chlamydia phage 1	NC_001741	83554	Chlamydia psittaci	NC_017287.1		"RefSeq, UniProt"	database
90963	Guinea pig Chlamydia phage	NC_001998	83554	Chlamydia psittaci	NC_017287.1		RefSeq	database
1527524	Citrobacter phage Miller	NC_025414	546	Citrobacter freundii	NZ_CP007557.1	25593263	Literature	database
1540094	Citrobacter phage Moogle	NC_027293	546	Citrobacter freundii	NZ_CP007557.1		RefSeq	database
1540095	Citrobacter phage Moon	NC_027331	546	Citrobacter freundii	NZ_CP007557.1		RefSeq	database
1540096	Citrobacter phage Stevie	NC_027350	546	Citrobacter freundii	NZ_CP007557.1		RefSeq	database
1610508	Citrobacter phage phiCFP-1	NC_028880	546	Citrobacter freundii	NZ_CP007557.1		RefSeq	database
1673887	Citrobacter phage IME-CF2	NC_029013	546	Citrobacter freundii	NZ_CP007557.1		RefSeq	database
1675602	Citrobacter phage Merlin	NC_028857	546	Citrobacter freundii	NZ_CP007557.1	26430046	"Literature, RefSeq"	database
1675603	Citrobacter phage Michonne	NC_028247	546	Citrobacter freundii	NZ_CP007557.1		RefSeq	database
1805464	Citrobacter phage SH1	NC_031066	546	Citrobacter freundii	NZ_CP007557.1		RefSeq	database
1805465	Citrobacter phage SH2	NC_031092	546	Citrobacter freundii	NZ_CP007557.1		RefSeq	database
1805466	Citrobacter phage SH3	NC_031123	546	Citrobacter freundii	NZ_CP007557.1		RefSeq	database
1805467	Citrobacter phage SH4	NC_031018	546	Citrobacter freundii	NZ_CP007557.1		RefSeq	database
1406793	Clavibacter phage CN1A	NC_023549	28447	Clavibacter michiganensis	NC_010407.1		RefSeq	database
1032362	Clostridium phage phiCD38-2	NC_015568	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1204534	Clostridium phage phiMMP02	NC_019421	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1204535	Clostridium phage phiMMP04	NC_019422	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1411095	Clostridium phage CDMH1	NC_024144	1496	Clostridioides difficile	NC_009089.1	24475037	Literature	database
1437363	Clostridium phage phiCDHM13	NC_029116	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1582149	Clostridium phage phiCD24-1	LN681534	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1582150	Clostridium phage phiCD111	NC_028905	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1582151	Clostridium phage phiCD146	NC_028958	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1582152	Clostridium phage phiCD211	NC_029048	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1582153	Clostridium phage phiCD481-1	NC_028951	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1582154	Clostridium phage phiCD505	NC_028764	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1582155	Clostridium phage phiCD506	NC_028838	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1582156	Clostridium phage phiMMP01	NC_028883	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
1582157	Clostridium phage phiMMP03	NC_028959	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
262071	Clostridium virus phiC2	NC_009231	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
320122	Clostridium virus phiCD119	NC_007917	1496	Clostridioides difficile	NC_009089.1		"RefSeq, UniProt"	database
559189	Clostridium virus phiCD27	NC_011398	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
864178	Clostridium phage phiCD6356	NC_015262	1496	Clostridioides difficile	NC_009089.1		RefSeq	database
12336	Clostridium phage c-st	NC_007581	1491	Clostridium botulinum	NC_015425.1		"RefSeq, UniProt"	database
1042122	Clostridium phage phiCP13O	NC_019506	1502	Clostridium perfringens	NC_008261.1		RefSeq	database
1042123	Clostridium phage phiCP34O	NC_019508	1502	Clostridium perfringens	NC_008261.1		RefSeq	database
1042124	Clostridium phage phiCP9O	JF767210	1502	Clostridium perfringens	NC_008261.1		RefSeq	database
