Contigs id(VIRUS)	Sequence location	Host taxid	Host name	Refseq  host	sequence location	pmid	evidence
Gammaproteobacteria_gi_452732688_17311_51164	26200428.fasta	1221244	Acinetobacter baumannii AB_1536-8			26200428	VirSorter
Gammaproteobacteria_gi_452732748	26200428.fasta	1221244	Acinetobacter baumannii AB_1536-8			26200428	VirSorter
Gammaproteobacteria_gi_452732861	26200428.fasta	1221245	Acinetobacter baumannii AB_1582-8			26200428	VirSorter
Gammaproteobacteria_gi_452732913	26200428.fasta	1221245	Acinetobacter baumannii AB_1582-8			26200428	VirSorter
Gammaproteobacteria_gi_452732950	26200428.fasta	1221245	Acinetobacter baumannii AB_1582-8			26200428	VirSorter
Gammaproteobacteria_gi_452733005	26200428.fasta	1221245	Acinetobacter baumannii AB_1582-8			26200428	VirSorter
Gammaproteobacteria_gi_452733007	26200428.fasta	1221245	Acinetobacter baumannii AB_1582-8			26200428	VirSorter
Gammaproteobacteria_gi_452733147	26200428.fasta	1221246	Acinetobacter baumannii AB_1583-8			26200428	VirSorter
Gammaproteobacteria_gi_452733154	26200428.fasta	1221246	Acinetobacter baumannii AB_1583-8			26200428	VirSorter
Gammaproteobacteria_gi_452733165	26200428.fasta	1221246	Acinetobacter baumannii AB_1583-8			26200428	VirSorter
Gammaproteobacteria_gi_452733324	26200428.fasta	1221246	Acinetobacter baumannii AB_1583-8			26200428	VirSorter
Gammaproteobacteria_gi_452733374	26200428.fasta	1221246	Acinetobacter baumannii AB_1583-8			26200428	VirSorter
Gammaproteobacteria_gi_452733380	26200428.fasta	1221246	Acinetobacter baumannii AB_1583-8			26200428	VirSorter
Gammaproteobacteria_gi_452733388	26200428.fasta	1221247	Acinetobacter baumannii AB_1594-8			26200428	VirSorter
Gammaproteobacteria_gi_452733486_13328_70718	26200428.fasta	1221247	Acinetobacter baumannii AB_1594-8			26200428	VirSorter
Gammaproteobacteria_gi_452733618	26200428.fasta	1221248	Acinetobacter baumannii AB_1595-8			26200428	VirSorter
Gammaproteobacteria_gi_452733712	26200428.fasta	1221248	Acinetobacter baumannii AB_1595-8			26200428	VirSorter
Gammaproteobacteria_gi_452733755_16505_69770	26200428.fasta	1221248	Acinetobacter baumannii AB_1595-8			26200428	VirSorter
Gammaproteobacteria_gi_452733769	26200428.fasta	1221248	Acinetobacter baumannii AB_1595-8			26200428	VirSorter
Gammaproteobacteria_gi_452733789	26200428.fasta	1221248	Acinetobacter baumannii AB_1595-8			26200428	VirSorter
Gammaproteobacteria_gi_452741336_0_27633	26200428.fasta	1221251	Acinetobacter baumannii AB_1766_8			26200428	VirSorter
Gammaproteobacteria_gi_452741421	26200428.fasta	1221251	Acinetobacter baumannii AB_1766_8			26200428	VirSorter
Gammaproteobacteria_gi_452741513	26200428.fasta	1221251	Acinetobacter baumannii AB_1766_8			26200428	VirSorter
Gammaproteobacteria_gi_452734260	26200428.fasta	1221252	Acinetobacter baumannii AB_2007-09-110-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452734332	26200428.fasta	1221252	Acinetobacter baumannii AB_2007-09-110-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452734354	26200428.fasta	1221252	Acinetobacter baumannii AB_2007-09-110-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452734370_48739_81557	26200428.fasta	1221253	Acinetobacter baumannii AB_2007-16-25-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452734382	26200428.fasta	1221253	Acinetobacter baumannii AB_2007-16-25-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452734396	26200428.fasta	1221253	Acinetobacter baumannii AB_2007-16-25-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452734407	26200428.fasta	1221253	Acinetobacter baumannii AB_2007-16-25-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452734434	26200428.fasta	1221253	Acinetobacter baumannii AB_2007-16-25-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452734447_0_32794	26200428.fasta	1221254	Acinetobacter baumannii AB_2007-16-27-01			26200428	VirSorter
Gammaproteobacteria_gi_452734458	26200428.fasta	1221254	Acinetobacter baumannii AB_2007-16-27-01			26200428	VirSorter
Gammaproteobacteria_gi_452734466	26200428.fasta	1221254	Acinetobacter baumannii AB_2007-16-27-01			26200428	VirSorter
Gammaproteobacteria_gi_452916955	26200428.fasta	1221254	Acinetobacter baumannii AB_2007-16-27-01			26200428	VirSorter
Gammaproteobacteria_gi_452734469	26200428.fasta	1221255	Acinetobacter baumannii AB_2008-15-34-7			26200428	VirSorter
Gammaproteobacteria_gi_452734610	26200428.fasta	1221255	Acinetobacter baumannii AB_2008-15-34-7			26200428	VirSorter
Gammaproteobacteria_gi_452734696	26200428.fasta	1221256	Acinetobacter baumannii AB_2008-15-45			26200428	VirSorter
Gammaproteobacteria_gi_452734730	26200428.fasta	1221256	Acinetobacter baumannii AB_2008-15-45			26200428	VirSorter
Gammaproteobacteria_gi_452734777	26200428.fasta	1221257	Acinetobacter baumannii AB_2008-15-52			26200428	VirSorter
Gammaproteobacteria_gi_452734798	26200428.fasta	1221257	Acinetobacter baumannii AB_2008-15-52			26200428	VirSorter
Gammaproteobacteria_gi_452734812	26200428.fasta	1221257	Acinetobacter baumannii AB_2008-15-52			26200428	VirSorter
Gammaproteobacteria_gi_452734874_244543_251248	26200428.fasta	1221258	Acinetobacter baumannii AB_2008-15-69			26200428	VirSorter
Gammaproteobacteria_gi_452734905	26200428.fasta	1221258	Acinetobacter baumannii AB_2008-15-69			26200428	VirSorter
Gammaproteobacteria_gi_452734921	26200428.fasta	1221258	Acinetobacter baumannii AB_2008-15-69			26200428	VirSorter
Gammaproteobacteria_gi_452734995	26200428.fasta	1221259	Acinetobacter baumannii AB_2008-15-70			26200428	VirSorter
Gammaproteobacteria_gi_452735198	26200428.fasta	1221260	Acinetobacter baumannii AB_2008-15-71			26200428	VirSorter
Gammaproteobacteria_gi_452735228	26200428.fasta	1221260	Acinetobacter baumannii AB_2008-15-71			26200428	VirSorter
Gammaproteobacteria_gi_452735256	26200428.fasta	1221260	Acinetobacter baumannii AB_2008-15-71			26200428	VirSorter
Gammaproteobacteria_gi_452735339	26200428.fasta	1221261	Acinetobacter baumannii AB_2008-23-01-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452735557	26200428.fasta	1221262	Acinetobacter baumannii AB_2008-23-07-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452735578	26200428.fasta	1221262	Acinetobacter baumannii AB_2008-23-07-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452735594	26200428.fasta	1221262	Acinetobacter baumannii AB_2008-23-07-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452735657	26200428.fasta	1221263	Acinetobacter baumannii AB_2009-04-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452735825	26200428.fasta	1221264	Acinetobacter baumannii AB_2009-04-02-7			26200428	VirSorter
Gammaproteobacteria_gi_452735834_8512_93839	26200428.fasta	1221264	Acinetobacter baumannii AB_2009-04-02-7			26200428	VirSorter
Gammaproteobacteria_gi_452735870	26200428.fasta	1221264	Acinetobacter baumannii AB_2009-04-02-7			26200428	VirSorter
Gammaproteobacteria_gi_452735871	26200428.fasta	1221264	Acinetobacter baumannii AB_2009-04-02-7			26200428	VirSorter
Gammaproteobacteria_gi_452735887	26200428.fasta	1221265	Acinetobacter baumannii AB_515-8			26200428	VirSorter
Gammaproteobacteria_gi_452735940_0_29286	26200428.fasta	1221265	Acinetobacter baumannii AB_515-8			26200428	VirSorter
Gammaproteobacteria_gi_452735978	26200428.fasta	1221265	Acinetobacter baumannii AB_515-8			26200428	VirSorter
Gammaproteobacteria_gi_452736072	26200428.fasta	1221265	Acinetobacter baumannii AB_515-8			26200428	VirSorter
Gammaproteobacteria_gi_452736100	26200428.fasta	1221265	Acinetobacter baumannii AB_515-8			26200428	VirSorter
Gammaproteobacteria_gi_452736173	26200428.fasta	1221266	Acinetobacter baumannii AB_908-12			26200428	VirSorter
Gammaproteobacteria_gi_452736179	26200428.fasta	1221266	Acinetobacter baumannii AB_908-12			26200428	VirSorter
Gammaproteobacteria_gi_452736190	26200428.fasta	1221266	Acinetobacter baumannii AB_908-12			26200428	VirSorter
Gammaproteobacteria_gi_452736220	26200428.fasta	1221266	Acinetobacter baumannii AB_908-12			26200428	VirSorter
Gammaproteobacteria_gi_452736221	26200428.fasta	1221266	Acinetobacter baumannii AB_908-12			26200428	VirSorter
Gammaproteobacteria_gi_452736228_62729_82779	26200428.fasta	1221267	Acinetobacter baumannii AB_908-13			26200428	VirSorter
Gammaproteobacteria_gi_452736338	26200428.fasta	1221267	Acinetobacter baumannii AB_908-13			26200428	VirSorter
Gammaproteobacteria_gi_452736396	26200428.fasta	1221267	Acinetobacter baumannii AB_908-13			26200428	VirSorter
Gammaproteobacteria_gi_452736500	26200428.fasta	1221268	Acinetobacter baumannii AB_908-14-7			26200428	VirSorter
Gammaproteobacteria_gi_452736559	26200428.fasta	1221268	Acinetobacter baumannii AB_908-14-7			26200428	VirSorter
Gammaproteobacteria_gi_452736570_1828_38427	26200428.fasta	1221268	Acinetobacter baumannii AB_908-14-7			26200428	VirSorter
Gammaproteobacteria_gi_452736580	26200428.fasta	1221268	Acinetobacter baumannii AB_908-14-7			26200428	VirSorter
Gammaproteobacteria_gi_452736597	26200428.fasta	1221268	Acinetobacter baumannii AB_908-14-7			26200428	VirSorter
Gammaproteobacteria_gi_452736766	26200428.fasta	1221269	Acinetobacter baumannii AB_909-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452736803	26200428.fasta	1221269	Acinetobacter baumannii AB_909-01-7			26200428	VirSorter
Gammaproteobacteria_gi_452736853	26200428.fasta	1221270	Acinetobacter baumannii AB_909-02-7			26200428	VirSorter
Gammaproteobacteria_gi_452736859	26200428.fasta	1221270	Acinetobacter baumannii AB_909-02-7			26200428	VirSorter
Gammaproteobacteria_gi_452736919	26200428.fasta	1221271	Acinetobacter baumannii AB_909-05			26200428	VirSorter
Gammaproteobacteria_gi_452736964_0_41957	26200428.fasta	1221271	Acinetobacter baumannii AB_909-05			26200428	VirSorter
Gammaproteobacteria_gi_452737010	26200428.fasta	1221271	Acinetobacter baumannii AB_909-05			26200428	VirSorter
Gammaproteobacteria_gi_452737037	26200428.fasta	1221271	Acinetobacter baumannii AB_909-05			26200428	VirSorter
Gammaproteobacteria_gi_452737042	26200428.fasta	1221271	Acinetobacter baumannii AB_909-05			26200428	VirSorter
Gammaproteobacteria_gi_452737044_7473_16164	26200428.fasta	1221271	Acinetobacter baumannii AB_909-05			26200428	VirSorter
Gammaproteobacteria_gi_452737694	26200428.fasta	1221273	Acinetobacter baumannii AB_TG19617			26200428	VirSorter
Gammaproteobacteria_gi_452737829	26200428.fasta	1221274	Acinetobacter baumannii AB_TG2018			26200428	VirSorter
Gammaproteobacteria_gi_452737878	26200428.fasta	1221274	Acinetobacter baumannii AB_TG2018			26200428	VirSorter
Gammaproteobacteria_gi_452737981	26200428.fasta	1221275	Acinetobacter baumannii AB_TG2022			26200428	VirSorter
Gammaproteobacteria_gi_452737991_1796_24904	26200428.fasta	1221275	Acinetobacter baumannii AB_TG2022			26200428	VirSorter
Gammaproteobacteria_gi_452738027	26200428.fasta	1221275	Acinetobacter baumannii AB_TG2022			26200428	VirSorter
Gammaproteobacteria_gi_452738042	26200428.fasta	1221275	Acinetobacter baumannii AB_TG2022			26200428	VirSorter
Gammaproteobacteria_gi_452738055	26200428.fasta	1221275	Acinetobacter baumannii AB_TG2022			26200428	VirSorter
Gammaproteobacteria_gi_452738061	26200428.fasta	1221275	Acinetobacter baumannii AB_TG2022			26200428	VirSorter
Gammaproteobacteria_gi_452738158	26200428.fasta	1221276	Acinetobacter baumannii AB_TG2023			26200428	VirSorter
Gammaproteobacteria_gi_452738232	26200428.fasta	1221276	Acinetobacter baumannii AB_TG2023			26200428	VirSorter
Gammaproteobacteria_gi_452738256	26200428.fasta	1221276	Acinetobacter baumannii AB_TG2023			26200428	VirSorter
Gammaproteobacteria_gi_452739078_807_31977	26200428.fasta	1221278	Acinetobacter baumannii AB_TG2028			26200428	VirSorter
Gammaproteobacteria_gi_452739212	26200428.fasta	1221279	Acinetobacter baumannii AB_TG2030			26200428	VirSorter
Gammaproteobacteria_gi_452739368	26200428.fasta	1221281	Acinetobacter baumannii AB_TG2032			26200428	VirSorter
Gammaproteobacteria_gi_452739385	26200428.fasta	1221281	Acinetobacter baumannii AB_TG2032			26200428	VirSorter
Gammaproteobacteria_gi_452739397	26200428.fasta	1221281	Acinetobacter baumannii AB_TG2032			26200428	VirSorter
Gammaproteobacteria_gi_452739596	26200428.fasta	1221281	Acinetobacter baumannii AB_TG2032			26200428	VirSorter
Gammaproteobacteria_gi_452739659	26200428.fasta	1221281	Acinetobacter baumannii AB_TG2032			26200428	VirSorter
Gammaproteobacteria_gi_452739674	26200428.fasta	1221282	Acinetobacter baumannii AB_TG2631			26200428	VirSorter
Gammaproteobacteria_gi_452739676	26200428.fasta	1221282	Acinetobacter baumannii AB_TG2631			26200428	VirSorter
Gammaproteobacteria_gi_452739681	26200428.fasta	1221282	Acinetobacter baumannii AB_TG2631			26200428	VirSorter
Gammaproteobacteria_gi_452739750	26200428.fasta	1221282	Acinetobacter baumannii AB_TG2631			26200428	VirSorter
Gammaproteobacteria_gi_452739800	26200428.fasta	1221283	Acinetobacter baumannii AB_TG27323			26200428	VirSorter
Gammaproteobacteria_gi_452739863	26200428.fasta	1221284	Acinetobacter baumannii AB_TG27327			26200428	VirSorter
Gammaproteobacteria_gi_452739929	26200428.fasta	1221284	Acinetobacter baumannii AB_TG27327			26200428	VirSorter
Gammaproteobacteria_gi_452740034	26200428.fasta	1221285	Acinetobacter baumannii AB_TG27331			26200428	VirSorter
Gammaproteobacteria_gi_452740076	26200428.fasta	1221285	Acinetobacter baumannii AB_TG27331			26200428	VirSorter
Gammaproteobacteria_gi_452740130	26200428.fasta	1221286	Acinetobacter baumannii AB_TG27335			26200428	VirSorter
Gammaproteobacteria_gi_452740151_0_13480	26200428.fasta	1221286	Acinetobacter baumannii AB_TG27335			26200428	VirSorter
Gammaproteobacteria_gi_452740197	26200428.fasta	1221286	Acinetobacter baumannii AB_TG27335			26200428	VirSorter
Gammaproteobacteria_gi_452740199	26200428.fasta	1221286	Acinetobacter baumannii AB_TG27335			26200428	VirSorter
Gammaproteobacteria_gi_452740211	26200428.fasta	1221286	Acinetobacter baumannii AB_TG27335			26200428	VirSorter
Gammaproteobacteria_gi_452740235	26200428.fasta	1221286	Acinetobacter baumannii AB_TG27335			26200428	VirSorter
Gammaproteobacteria_gi_452740256	26200428.fasta	1221287	Acinetobacter baumannii AB_TG27339			26200428	VirSorter
Gammaproteobacteria_gi_452740263	26200428.fasta	1221287	Acinetobacter baumannii AB_TG27339			26200428	VirSorter
Gammaproteobacteria_gi_452740366	26200428.fasta	1221288	Acinetobacter baumannii AB_TG27343			26200428	VirSorter
Gammaproteobacteria_gi_452740379	26200428.fasta	1221288	Acinetobacter baumannii AB_TG27343			26200428	VirSorter
Gammaproteobacteria_gi_452740382	26200428.fasta	1221288	Acinetobacter baumannii AB_TG27343			26200428	VirSorter
Gammaproteobacteria_gi_452740481	26200428.fasta	1221288	Acinetobacter baumannii AB_TG27343			26200428	VirSorter
Gammaproteobacteria_gi_452740514	26200428.fasta	1221290	Acinetobacter baumannii AB_TG5064			26200428	VirSorter
Gammaproteobacteria_gi_452740544	26200428.fasta	1221290	Acinetobacter baumannii AB_TG5064			26200428	VirSorter
Gammaproteobacteria_gi_452740582	26200428.fasta	1221290	Acinetobacter baumannii AB_TG5064			26200428	VirSorter
Gammaproteobacteria_gi_452740653	26200428.fasta	1221290	Acinetobacter baumannii AB_TG5064			26200428	VirSorter
Gammaproteobacteria_gi_452740897	26200428.fasta	1221290	Acinetobacter baumannii AB_TG5064			26200428	VirSorter
Gammaproteobacteria_gi_452740915	26200428.fasta	1221290	Acinetobacter baumannii AB_TG5064			26200428	VirSorter
Gammaproteobacteria_gi_452740941	26200428.fasta	1221290	Acinetobacter baumannii AB_TG5064			26200428	VirSorter
Gammaproteobacteria_gi_301324464	26200428.fasta	710094	Acinetobacter baumannii AB056			26200428	VirSorter
Gammaproteobacteria_gi_301330864	26200428.fasta	710095	Acinetobacter baumannii AB058			26200428	VirSorter
Gammaproteobacteria_gi_301331006	26200428.fasta	710095	Acinetobacter baumannii AB058			26200428	VirSorter
Gammaproteobacteria_gi_301332271	26200428.fasta	710096	Acinetobacter baumannii AB059			26200428	VirSorter
Gammaproteobacteria_gi_424051190	26200428.fasta	1168588	Acinetobacter baumannii Ab11111			26200428	VirSorter
Gammaproteobacteria_gi_481021430_34307_72916	26200428.fasta	1222031	Acinetobacter baumannii AB1H8			26200428	VirSorter
Gammaproteobacteria_gi_481021442	26200428.fasta	1222031	Acinetobacter baumannii AB1H8			26200428	VirSorter
Gammaproteobacteria_gi_416150298	26200428.fasta	886886	Acinetobacter baumannii AB210			26200428	VirSorter
Gammaproteobacteria_gi_416150982	26200428.fasta	886886	Acinetobacter baumannii AB210			26200428	VirSorter
Gammaproteobacteria_gi_416151183	26200428.fasta	886886	Acinetobacter baumannii AB210			26200428	VirSorter
Gammaproteobacteria_gi_481021535	26200428.fasta	1222033	Acinetobacter baumannii AB405E4			26200428	VirSorter
Gammaproteobacteria_gi_481021697	26200428.fasta	1222032	Acinetobacter baumannii AB4A3			26200428	VirSorter
Gammaproteobacteria_gi_481021706	26200428.fasta	1222032	Acinetobacter baumannii AB4A3			26200428	VirSorter
Gammaproteobacteria_gi_481021708	26200428.fasta	1222032	Acinetobacter baumannii AB4A3			26200428	VirSorter
Gammaproteobacteria_gi_481021728	26200428.fasta	1222032	Acinetobacter baumannii AB4A3			26200428	VirSorter
Gammaproteobacteria_gi_452704112	26200428.fasta	1116236	Acinetobacter baumannii AB5711			26200428	VirSorter
Gammaproteobacteria_gi_452704130_168869_206790	26200428.fasta	1116236	Acinetobacter baumannii AB5711			26200428	VirSorter
Gammaproteobacteria_gi_452704131_0_49186	26200428.fasta	1116236	Acinetobacter baumannii AB5711			26200428	VirSorter
Gammaproteobacteria_gi_452704132_327109_372859	26200428.fasta	1116236	Acinetobacter baumannii AB5711			26200428	VirSorter
Gammaproteobacteria_gi_452704137	26200428.fasta	1116236	Acinetobacter baumannii AB5711			26200428	VirSorter
Gammaproteobacteria_gi_216265005	26200428.fasta	557601	Acinetobacter baumannii AB900			26200428	VirSorter
Gammaproteobacteria_gi_481022213	26200428.fasta	1200351	Acinetobacter baumannii ABIsac_ColiR			26200428	VirSorter
Gammaproteobacteria_gi_481022218	26200428.fasta	1200351	Acinetobacter baumannii ABIsac_ColiR			26200428	VirSorter
Gammaproteobacteria_gi_481022013	26200428.fasta	1200350	Acinetobacter baumannii ABIsac_ColiS			26200428	VirSorter
Gammaproteobacteria_gi_481022112	26200428.fasta	1200350	Acinetobacter baumannii ABIsac_ColiS			26200428	VirSorter
Gammaproteobacteria_gi_417868840_0_21968	26200428.fasta	992402	Acinetobacter baumannii ABNIH1			26200428	VirSorter
Gammaproteobacteria_gi_417870530	26200428.fasta	992402	Acinetobacter baumannii ABNIH1			26200428	VirSorter
Gammaproteobacteria_gi_489258418	26200428.fasta	1094474	Acinetobacter baumannii ABNIH10			26200428	VirSorter
Gammaproteobacteria_gi_489273109	26200428.fasta	1094474	Acinetobacter baumannii ABNIH10			26200428	VirSorter
Gammaproteobacteria_gi_489285945	26200428.fasta	1094474	Acinetobacter baumannii ABNIH10			26200428	VirSorter
Gammaproteobacteria_gi_489313211_33930_70030	26200428.fasta	1094475	Acinetobacter baumannii ABNIH11			26200428	VirSorter
Gammaproteobacteria_gi_489319072	26200428.fasta	1094475	Acinetobacter baumannii ABNIH11			26200428	VirSorter
Gammaproteobacteria_gi_489323864	26200428.fasta	1094477	Acinetobacter baumannii ABNIH13			26200428	VirSorter
Gammaproteobacteria_gi_489327416	26200428.fasta	1094477	Acinetobacter baumannii ABNIH13			26200428	VirSorter
Gammaproteobacteria_gi_489330692	26200428.fasta	1094477	Acinetobacter baumannii ABNIH13			26200428	VirSorter
Gammaproteobacteria_gi_489330989_0_17069	26200428.fasta	1094477	Acinetobacter baumannii ABNIH13			26200428	VirSorter
Gammaproteobacteria_gi_489335589	26200428.fasta	1094477	Acinetobacter baumannii ABNIH13			26200428	VirSorter
Gammaproteobacteria_gi_489335950	26200428.fasta	1094477	Acinetobacter baumannii ABNIH13			26200428	VirSorter
Gammaproteobacteria_gi_489336153	26200428.fasta	1094477	Acinetobacter baumannii ABNIH13			26200428	VirSorter
Gammaproteobacteria_gi_489352331	26200428.fasta	1094478	Acinetobacter baumannii ABNIH14			26200428	VirSorter
Gammaproteobacteria_gi_489353850	26200428.fasta	1094478	Acinetobacter baumannii ABNIH14			26200428	VirSorter
Gammaproteobacteria_gi_489353914	26200428.fasta	1094478	Acinetobacter baumannii ABNIH14			26200428	VirSorter
Gammaproteobacteria_gi_489355828	26200428.fasta	1094478	Acinetobacter baumannii ABNIH14			26200428	VirSorter
Gammaproteobacteria_gi_489356081	26200428.fasta	1094478	Acinetobacter baumannii ABNIH14			26200428	VirSorter
Gammaproteobacteria_gi_489358119	26200428.fasta	1094478	Acinetobacter baumannii ABNIH14			26200428	VirSorter
Gammaproteobacteria_gi_489358252	26200428.fasta	1094478	Acinetobacter baumannii ABNIH14			26200428	VirSorter
Gammaproteobacteria_gi_489358365	26200428.fasta	1094478	Acinetobacter baumannii ABNIH14			26200428	VirSorter
